City,State short,State full,County,City alias
Arvada,CO,Colorado,JEFFERSON,Arvada
Arvada,CO,Colorado,JEFFERSON,Westminster
Aurora,CO,Colorado,ARAPAHOE,Aurora
Aurora,CO,Colorado,ADAMS,Buckley AFB
Aurora,CO,Colorado,ADAMS,Buckley Air Force Base
Aurora,CO,Colorado,ADAMS,Buckley Ang
Aurora,CO,Colorado,ADAMS,Buckley Air Natl Guard Base
Aurora,CO,Colorado,ADAMS,Aurora
Aurora,CO,Colorado,ARAPAHOE,Denver
Aurora,CO,Colorado,ARAPAHOE,Centennial
Aurora,CO,Colorado,ARAPAHOE,Foxfield
Broomfield,CO,Colorado,BROOMFIELD,Westminster
Broomfield,CO,Colorado,BROOMFIELD,Broomfield
Broomfield,CO,Colorado,JEFFERSON,Broomfield
Broomfield,CO,Colorado,JEFFERSON,Westminster
Commerce City,CO,Colorado,ADAMS,Denver
Commerce City,CO,Colorado,ADAMS,Commerce City
Commerce City,CO,Colorado,ADAMS,Irondale
Broomfield,CO,Colorado,BROOMFIELD,Thornton
Dupont,CO,Colorado,ADAMS,Dupont
Eldorado Springs,CO,Colorado,BOULDER,Eldorado Springs
Eldorado Springs,CO,Colorado,BOULDER,Eldorado Sprg
Lafayette,CO,Colorado,BOULDER,Lafayette
Louisville,CO,Colorado,BOULDER,Louisville
Louisville,CO,Colorado,BOULDER,Superior
Westminster,CO,Colorado,ADAMS,Westminster
Wheat Ridge,CO,Colorado,JEFFERSON,Denver
Wheat Ridge,CO,Colorado,JEFFERSON,Wheat Ridge
Agate,CO,Colorado,ELBERT,Agate
Bennett,CO,Colorado,ADAMS,Bennett
Byers,CO,Colorado,ARAPAHOE,Byers
Castle Rock,CO,Colorado,DOUGLAS,Castle Rock
Deer Trail,CO,Colorado,ARAPAHOE,Deer Trail
Elbert,CO,Colorado,EL PASO,Black Forest
Elbert,CO,Colorado,EL PASO,Elbert
Elizabeth,CO,Colorado,ELBERT,Elizabeth
Castle Rock,CO,Colorado,DOUGLAS,Castle Pines
Englewood,CO,Colorado,ARAPAHOE,Greenwood Village
Englewood,CO,Colorado,ARAPAHOE,Sheridan
Englewood,CO,Colorado,ARAPAHOE,Greenwood Vlg
Englewood,CO,Colorado,ARAPAHOE,Cherry Hl Vlg
Englewood,CO,Colorado,ARAPAHOE,Cherry Hills Village
Englewood,CO,Colorado,ARAPAHOE,Cherry Hills
Englewood,CO,Colorado,ARAPAHOE,Englewood
Englewood,CO,Colorado,ARAPAHOE,Centennial
Englewood,CO,Colorado,ARAPAHOE,Lone Tree
Franktown,CO,Colorado,DOUGLAS,Franktown
Kiowa,CO,Colorado,ELBERT,Kiowa
Larkspur,CO,Colorado,DOUGLAS,Larkspur
Littleton,CO,Colorado,ARAPAHOE,Littleton
Littleton,CO,Colorado,ARAPAHOE,Greenwood Vlg
Littleton,CO,Colorado,ARAPAHOE,Cherry Hills Village
Littleton,CO,Colorado,ARAPAHOE,Cherry Hl Vlg
Littleton,CO,Colorado,ARAPAHOE,Grants Ranch
Littleton,CO,Colorado,ARAPAHOE,Centennial
Littleton,CO,Colorado,ARAPAHOE,Greenwood Village
Littleton,CO,Colorado,ARAPAHOE,Cherry Hills
Littleton,CO,Colorado,JEFFERSON,Littleton
Littleton,CO,Colorado,JEFFERSON,Bow Mar
Littleton,CO,Colorado,JEFFERSON,Grants Ranch
Littleton,CO,Colorado,JEFFERSON,Columbine Vly
Littleton,CO,Colorado,JEFFERSON,Columbine Valley
Littleton,CO,Colorado,JEFFERSON,Centennial
Littleton,CO,Colorado,JEFFERSON,Denver
Littleton,CO,Colorado,JEFFERSON,Lakewood
Lone Tree,CO,Colorado,DOUGLAS,Lonetree
Lone Tree,CO,Colorado,DOUGLAS,Littleton
Lone Tree,CO,Colorado,DOUGLAS,Lone Tree
Littleton,CO,Colorado,DOUGLAS,Littleton
Littleton,CO,Colorado,DOUGLAS,Roxborough
Littleton,CO,Colorado,DOUGLAS,Hghlnds Ranch
Littleton,CO,Colorado,DOUGLAS,Highlands Ranch
Louviers,CO,Colorado,DOUGLAS,Louviers
Monument,CO,Colorado,EL PASO,Monument
Monument,CO,Colorado,EL PASO,Woodmoor
Palmer Lake,CO,Colorado,EL PASO,Palmer Lake
Parker,CO,Colorado,DOUGLAS,Parker
Sedalia,CO,Colorado,DOUGLAS,Deckers
Sedalia,CO,Colorado,DOUGLAS,Sedalia
Strasburg,CO,Colorado,ADAMS,Strasburg
Watkins,CO,Colorado,ADAMS,Watkins
Littleton,CO,Colorado,ARAPAHOE,Littleton City Offices
